weekid,week_position,song,performer,weeks_on_chart,peak_position,spotify_track_duration_ms,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1990-02-24,98,Don't Make Me Over,Sybil,23,20,243426,false,0.607,0.786,0,-7.081,true,0.0596,0.00552,0.000169,0.0673,0.905,96.569,4
1971-03-27,62,Don't Make Me Pay For His Mistakes,Z.Z. Hill,5,62,,,,,,,,,,,,,,
1988-01-02,100,Don't Make Me Wait For Love,Kenny G. (Vocal By Lenny Williams),19,15,,,,,,,,,,,,,,
2007-06-09,100,Don't Make Me,Blake Shelton,6,79,246560,false,0.513,0.546,5,-5.703,true,0.0282,0.0181,0.0,0.122,0.245,141.876,4
1963-06-22,65,Don't Make My Baby Blue,Frankie Laine,7,51,,,,,,,,,,,,,,
1968-12-21,79,Don't Make The Good Girls Go Bad,Della Humphrey,4,79,162200,false,0.579,0.367,1,-11.888,false,0.0364,0.0859,0.00000438,0.258,0.474,76.333,4
2018-08-11,66,Don't Matter To Me,Drake Featuring Michael Jackson,5,9,,,,,,,,,,,,,,
2007-07-07,48,Don't Matter,Akon,23,1,293053,true,0.79,0.457,2,-6.231,true,0.0414,0.24,0.0,0.222,0.355,125.249,4
1987-10-31,98,Don't Mean Nothing,Richard Marx,21,3,281533,false,0.673,0.765,5,-10.615,true,0.0256,0.0439,0.0000343,0.107,0.779,98.241,4
1963-04-13,94,Don't Mention My Name,The Shepherd Sisters,2,94,,,,,,,,,,,,,,
1965-04-17,55,Don't Mess Up A Good Thing,Fontella Bass & Bobby McClure,11,33,173826,false,0.709,0.633,10,-6.74,false,0.0743,0.587,0.00000454,0.109,0.929,175.16,4
1966-03-19,24,Don't Mess With Bill,The Marvelettes,12,7,169533,false,0.68,0.542,2,-10.398,true,0.0336,0.338,0.0,0.127,0.5,116.242,4
2003-04-12,45,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,36,8,213226,false,0.879,0.73,11,-4.369,false,0.164,0.114,0.0,0.241,0.885,99.925,4
2001-09-01,96,Don't Mess With The Radio,Nivea,3,90,236853,false,0.848,0.668,11,-5.057,false,0.0804,0.00997,0.000162,0.229,0.789,97.488,4
2016-10-01,58,Don't Mind,Kent Jones,20,8,198236,true,0.464,0.771,8,-4.503,true,0.336,0.0235,0.0,0.063,0.69,158.777,4
1980-09-20,92,Don't Misunderstand Me,Rossington Collins Band,9,55,236200,false,0.611,0.544,0,-9.331,true,0.0332,0.247,0.0572,0.105,0.773,124.894,4
1987-03-21,70,Don't Need A Gun,Billy Idol,9,37,324893,false,0.625,0.843,9,-7.642,true,0.0327,0.0549,0.141,0.295,0.517,139.342,4
2020-11-21,65,Don't Need Friends,NAV Featuring Lil Baby,1,65,,,,,,,,,,,,,,
1968-12-21,91,Don't Pat Me On The Back And Call Me Brother,John W. Anderson presents KaSandra,2,91,,,,,,,,,,,,,,
1983-07-30,99,Don't Pay The Ferryman,Chris de Burgh,14,34,228826,false,0.533,0.716,4,-10.847,false,0.0391,0.111,0.000179,0.856,0.792,152.003,4
2005-10-15,46,Don't Phunk With My Heart,The Black Eyed Peas,26,3,239773,false,0.691,0.929,5,-2.73,false,0.0645,0.00877,0.0,0.472,0.574,130.899,4
2021-05-29,1,Good 4 U,Olivia Rodrigo,1,1,178147,true,0.556,0.661,6,-5.052,false,0.204,0.3,0.0,0.101,0.668,168.56,4
2021-05-29,2,my.life,"J. Cole, 21 Savage & Morray",1,2,,,,,,,,,,,,,,
2020-02-01,94,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,20,8,229573,false,0.499,0.8,1,-2.665,false,0.0502,0.0906,0.0,0.147,0.272,139.919,4
2002-05-25,93,Take Ya Home,Lil Bow Wow,7,72,,,,,,,,,,,,,,
2021-02-06,78,Take You Dancing,Jason Derulo,8,57,190306,false,0.789,0.711,2,-4.248,true,0.041,0.0332,0.0,0.0876,0.753,112.985,4
2008-09-13,90,Take You Down,Chris Brown,20,43,245933,false,0.387,0.64,11,-5.817,false,0.081,0.107,0.0,0.319,0.617,59.989,4
2002-05-18,96,Take You Home With Me a.k.a. Body,R. Kelly & Jay-Z,8,81,,,,,,,,,,,,,,
2003-02-22,99,Take You Home,Angie Martinez Featuring Kelis,5,85,233226,false,0.595,0.639,7,-3.159,true,0.275,0.0663,0.0,0.0588,0.7,95.912,4
